id,name,degree,salary
1,John Doe,ASSISTANT,3000.00
2,Jane Smith,ASSOCIATE_PROFESSOR,4500.00
3,Emily Johnson,PROFESSOR,6000.00
4,Alice Brown,ASSISTANT,3200.00
5,Bob Green,ASSOCIATE_PROFESSOR,4700.00
6,Charlie White,PROFESSOR,6200.00
7,David Black,ASSISTANT,3100.00
8,Eve Davis,ASSOCIATE_PROFESSOR,4600.00
9,Frank Harris,PROFESSOR,6300.00
10,Grace Clark,ASSISTANT,3300.00
11,Henry Lewis,ASSOCIATE_PROFESSOR,4800.00
12,Isabel Martinez,PROFESSOR,6400.00
13,James Wilson,ASSISTANT,3400.00
14,Kimberly Hall,ASSOCIATE_PROFESSOR,4900.00
15,Liam Allen,PROFESSOR,6500.00
16,Monica Scott,ASSISTANT,3500.00
17,Noah Young,ASSOCIATE_PROFESSOR,5000.00
18,Olivia Turner,PROFESSOR,6600.00
19,Paul Adams,ASSISTANT,3600.00
20,Quincy Nelson,ASSOCIATE_PROFESSOR,5100.00
21,Rachel Baker,PROFESSOR,6700.00
22,Samuel Wright,ASSISTANT,3700.00
23,Tina Hill,ASSOCIATE_PROFESSOR,5200.00
24,Uma King,PROFESSOR,6800.00
25,Victor Lee,ASSISTANT,3800.00
26,Willow Harris,ASSOCIATE_PROFESSOR,5300.00
27,Xander Lopez,PROFESSOR,6900.00
28,Yasmine Mitchell,ASSISTANT,3900.00
29,Zachary Moore,ASSOCIATE_PROFESSOR,5400.00
30,Anna Johnson,PROFESSOR,7000.00
31,Benjamin King,ASSISTANT,4000.00
32,Cara Anderson,ASSOCIATE_PROFESSOR,5500.00
33,Daniel Thomas,PROFESSOR,7100.00
34,Emily Rodriguez,ASSISTANT,4100.00
35,Franklin Lee,ASSOCIATE_PROFESSOR,5600.00
36,Grace Walker,PROFESSOR,7200.00
37,Hannah Scott,ASSISTANT,4200.00
38,Isaac Miller,ASSOCIATE_PROFESSOR,5700.00
39,Jack Moore,PROFESSOR,7300.00
40,Laura Taylor,ASSISTANT,4300.00
